rownames,uid,state,votetrump,age,female,collegeed,racef,famincr,ideo,pid7na,bornagain,religimp,churchatd,prayerfreq,angryracism,whiteadv,fearraces,racerare,lrelig,lcograc,lemprac
54,54,California,0,82,1,1,White,,3,2,0,4,4,7,1,1,4,1,0.932332878241983,-1.204084686093323,0.27178882756754197
55,55,New York,0,59,1,1,White,7,2,1,0,2,1,,1,2,2,2,-0.6348525205306609,-0.11881161756623469,-0.21456318441150887
56,56,New Jersey,0,58,1,0,White,8,2,3,0,3,4,3,1,1,1,2,0.04092704110510598,-0.4551925376850848,-0.6194269716205983
57,57,California,1,62,0,0,White,,3,4,0,3,3,3,3,3,1,2,-0.01175096489321396,0.12553213079247608,0.07016563578523916
58,58,Tennessee,,55,0,0,White,1,3,5,0,3,1,2,2,3,4,3,-0.27367342426787417,0.4752937495294623,0.7028020303636756
59,59,West Virginia,1,72,1,0,White,5,4,2,1,4,6,7,2,5,2,1,1.6966135178966604,-0.005524360436810266,0.20409480479440348
60,60,Oklahoma,0,41,0,0,White,2,2,2,0,1,1,1,1,1,2,1,-1.584899964827102,-1.204084686093323,-0.21456318441150887
61,61,Massachusetts,,59,0,1,Hispanic,10,4,5,1,4,4,5,,,,,0.5730600938704432,,
62,62,Texas,,39,0,1,Asian,9,3,4,0,1,1,1,2,3,2,2,-1.584899964827102,0.12553213079247608,0.20409480479440348
63,63,Indiana,0,50,1,1,White,10,5,5,1,4,6,7,1,5,1,5,1.6966135178966604,1.8412257065152642,-0.6194269716205983
64,64,California,0,28,1,0,White,4,5,1,1,4,5,6,1,1,5,5,0.8063118780148516,0.5086038905860063,0.38274285616613746
65,65,Maryland,0,68,0,0,White,3,5,1,1,4,6,7,1,1,1,1,1.6966135178966604,-1.204084686093323,-0.6194269716205983
66,66,Texas,0,70,0,1,White,12,3,1,0,3,,5,1,2,3,1,0.03545462980327022,-0.643632269514061,0.052227512737282766
67,67,North Carolina,0,74,1,1,White,,4,2,0,3,3,5,2,3,4,4,0.0693560313642333,0.7740557550449166,0.7028020303636756
68,68,Wisconsin,0,55,1,1,White,7,2,1,0,3,2,2,1,3,3,2,-0.16840158788791199,0.12553213079247608,0.052227512737282766
69,69,Maryland,0,47,1,0,White,9,3,1,0,3,3,6,1,4,2,2,0.14887011884293536,0.3012782263605131,-0.21456318441150887
70,70,California,1,71,1,1,White,10,4,6,0,3,5,6,4,4,5,2,0.258061988018413,0.3012782263605131,1.3147590744402813
71,71,Missouri,1,57,0,0,White,,5,7,1,4,5,7,2,3,4,4,1.1710973279945556,0.7740557550449166,0.7028020303636756
72,72,Nevada,0,55,0,0,White,8,1,3,0,1,1,1,3,1,2,1,-1.584899964827102,-1.204084686093323,0.41619695773708365
73,73,Michigan,1,46,1,1,White,3,5,5,0,4,5,7,1,5,1,3,1.1710973279945556,0.9000377577600748,-0.6194269716205983
74,74,Texas,0,62,0,0,White,3,2,1,0,1,1,1,1,1,1,2,-1.584899964827102,-0.4551925376850848,-0.6194269716205983
75,75,Ohio,0,24,1,0,Black,1,3,3,0,3,3,2,1,2,4,2,-0.07291448904513023,-0.11881161756623469,0.27178882756754197
76,76,Utah,0,55,0,1,Hispanic,9,1,1,0,2,2,2,1,2,3,3,-0.5414731491146806,0.2410719755829464,0.052227512737282766
77,77,Pennsylvania,,33,1,0,White,6,,5,1,4,2,7,,,,,0.7460889643831501,,
78,78,Texas,0,49,1,1,Mixed,,,1,1,4,4,7,1,2,1,1,0.932332878241983,-0.643632269514061,-0.6194269716205983
79,79,Texas,0,64,0,0,White,11,,2,0,1,2,1,,1,1,1,-1.152458049214514,-1.204084686093323,-0.41366565271420697
80,80,Oklahoma,0,58,0,1,White,7,2,1,0,1,1,1,1,1,1,1,-1.584899964827102,-1.204084686093323,-0.6194269716205983
81,81,Washington,1,62,0,1,White,,4,4,1,4,3,7,3,5,3,3,0.834777050820967,0.9000377577600748,0.7003136334555536
82,82,Missouri,0,45,0,1,Hispanic,5,1,1,0,3,3,3,1,1,4,4,-0.01175096489321396,0.22698873787419577,0.27178882756754197
83,83,Wyoming,0,59,1,1,White,7,2,1,0,3,1,3,1,1,2,2,-0.19168062892264578,-0.4551925376850848,-0.21456318441150887
84,84,Pennsylvania,,47,1,0,White,3,3,4,1,2,2,3,2,4,1,4,-0.46514077757936584,0.9771959950395975,-0.138714742127817
85,85,New York,0,56,1,0,Black,4,1,1,0,4,3,6,1,2,2,2,0.5965038179808805,-0.11881161756623469,-0.21456318441150887
86,86,Florida,0,63,1,0,White,3,2,3,0,1,1,7,1,1,1,1,-0.945162507290458,-1.204084686093323,-0.6194269716205983
87,87,California,0,38,1,1,White,7,2,1,0,1,2,2,1,2,2,2,-0.9244283593455365,-0.11881161756623469,-0.21456318441150887
88,88,Maryland,0,36,0,1,White,,1,3,0,1,1,1,1,1,2,1,-1.584899964827102,-1.204084686093323,-0.21456318441150887
89,89,District of Columbia,0,72,1,1,White,5,3,4,0,4,4,7,1,2,3,2,0.932332878241983,-0.11881161756623469,0.052227512737282766
90,90,Illinois,0,26,0,0,White,3,3,3,0,1,3,2,2,2,1,3,-0.8597065631624138,0.2410719755829464,-0.138714742127817
91,91,Oregon,0,63,0,1,White,3,2,3,0,1,1,1,2,1,2,1,-1.584899964827102,-1.204084686093323,0.20409480479440348
92,92,Florida,1,57,0,0,White,8,4,7,1,4,2,7,3,4,3,2,0.7460889643831501,0.3012782263605131,0.7003136334555536
93,93,North Carolina,0,42,0,0,White,4,2,1,0,1,1,1,1,2,2,2,-1.584899964827102,-0.11881161756623469,-0.21456318441150887
94,94,New York,0,24,0,0,Hispanic,5,3,4,0,3,1,1,1,2,1,1,-0.37133472909038423,-0.643632269514061,-0.6194269716205983
95,95,Indiana,1,49,1,0,White,9,3,7,0,3,2,3,3,5,1,4,-0.10051965377540337,1.3010795133602184,0.07016563578523916
96,96,Idaho,0,60,1,1,White,4,3,2,0,1,2,2,2,2,3,2,-0.9244283593455365,-0.11881161756623469,0.4679751586170238
97,97,Alabama,,61,1,1,Black,8,2,1,0,1,1,1,1,1,1,1,-1.584899964827102,-1.204084686093323,-0.6194269716205983
98,98,Virginia,0,41,1,1,Black,9,3,1,0,4,2,5,1,2,1,1,0.4187504168179147,-0.643632269514061,-0.6194269716205983
99,99,Minnesota,0,53,0,1,Native American,12,3,4,0,3,1,3,1,2,1,2,-0.19168062892264578,-0.11881161756623469,-0.6194269716205983
100,100,Virginia,0,33,1,1,White,9,3,3,0,3,1,2,1,1,3,2,-0.27367342426787417,-0.4551925376850848,0.052227512737282766
101,101,Texas,0,45,1,1,White,,3,4,0,2,3,2,1,1,2,1,-0.4712378518052408,-1.204084686093323,-0.21456318441150887
102,102,Alabama,0,61,0,1,White,11,4,4,0,1,2,1,3,2,2,4,-1.152458049214514,0.5270892828849888,0.41619695773708365
103,103,Washington,1,71,0,0,Mixed,7,5,7,1,4,5,7,2,5,1,5,1.1710973279945556,1.8412257065152642,-0.138714742127817
104,104,Michigan,0,63,0,1,White,4,2,1,0,2,2,1,1,1,2,1,-0.6379528989777166,-1.204084686093323,-0.21456318441150887
105,105,California,0,51,0,1,White,4,1,1,0,1,1,1,1,1,1,1,-1.584899964827102,-1.204084686093323,-0.6194269716205983
106,106,Georgia,0,53,1,0,White,12,1,1,0,1,1,1,1,1,1,1,-1.584899964827102,-1.204084686093323,-0.6194269716205983
107,107,New York,,36,1,1,White,10,5,1,1,4,1,7,1,1,5,5,0.696112982276354,0.5086038905860063,0.38274285616613746
108,108,Illinois,0,45,1,0,Black,4,3,4,1,4,3,7,1,1,1,1,0.834777050820967,-1.204084686093323,-0.6194269716205983
109,109,Connecticut,1,46,0,0,Native American,9,4,6,0,1,1,1,1,2,2,2,-1.584899964827102,-0.11881161756623469,-0.21456318441150887
110,110,Massachusetts,0,61,0,0,White,9,3,4,0,1,1,1,2,3,4,2,-1.584899964827102,0.12553213079247608,0.7028020303636756
111,111,Maryland,0,39,1,1,Black,,5,2,1,4,6,7,2,1,2,1,1.6966135178966604,-1.204084686093323,0.20409480479440348
112,112,Michigan,0,41,0,1,White,8,3,4,1,4,5,5,1,3,2,4,0.6972726095973313,0.7740557550449166,-0.21456318441150887
113,113,Florida,0,37,1,0,White,7,1,1,1,4,4,6,1,3,1,3,0.6704326932816763,0.4752937495294623,-0.6194269716205983
114,114,Missouri,0,59,1,1,White,9,2,1,0,2,2,5,1,1,1,2,-0.4022057731502161,-0.4551925376850848,-0.6194269716205983
115,115,Ohio,0,57,0,1,Mixed,4,4,6,1,4,5,7,1,5,1,2,1.1710973279945556,0.5087615515053516,-0.6194269716205983
116,116,Maine,1,61,0,1,White,5,4,7,0,4,3,5,5,5,1,5,0.4989738850617788,1.8412257065152642,0.2144188829397604
117,117,North Carolina,0,58,0,1,White,,3,4,0,2,2,3,2,2,2,1,-0.46514077757936584,-0.643632269514061,0.20409480479440348
118,118,Virginia,0,30,1,1,White,9,3,3,0,3,3,5,1,2,1,2,0.0693560313642333,-0.11881161756623469,-0.6194269716205983
119,119,Missouri,0,79,1,1,White,2,2,2,0,1,1,1,1,2,3,2,-1.584899964827102,-0.11881161756623469,0.052227512737282766
120,120,Michigan,0,50,1,1,White,10,3,2,0,3,5,7,3,4,2,3,0.36444640312140714,0.656604937986723,0.41619695773708365
121,121,Texas,0,49,0,1,White,,3,4,0,3,5,3,1,1,2,1,0.08246554551496599,-1.204084686093323,-0.21456318441150887
122,122,Ohio,1,80,0,1,White,10,4,7,0,2,2,5,2,3,1,2,-0.4022057731502161,0.12553213079247608,-0.138714742127817
123,123,New York,0,68,1,1,White,6,1,1,0,1,1,1,1,1,2,1,-1.584899964827102,-1.204084686093323,-0.21456318441150887
124,124,West Virginia,1,65,0,0,White,8,4,6,1,4,6,7,3,5,3,5,1.6966135178966604,1.8412257065152642,0.7003136334555536
125,125,Texas,1,79,0,0,Other,4,4,5,0,3,1,2,3,5,1,3,-0.27367342426787417,0.9000377577600748,0.07016563578523916
126,126,Washington,0,69,1,1,White,7,2,3,0,3,2,2,1,2,3,2,-0.16840158788791199,-0.11881161756623469,0.052227512737282766
127,127,Colorado,1,46,1,1,White,9,3,5,0,1,1,3,2,2,2,4,-1.023906362609181,0.5270892828849888,0.20409480479440348
128,128,West Virginia,1,79,0,0,White,6,4,5,1,4,6,7,3,5,4,5,1.6966135178966604,1.8412257065152642,0.9671601641532525
129,129,New York,0,76,1,1,White,8,2,3,0,2,1,5,1,1,4,1,-0.5095139442235108,-1.204084686093323,0.27178882756754197
130,130,North Carolina,0,55,1,1,White,3,3,3,0,2,2,3,2,3,2,2,-0.46514077757936584,0.12553213079247608,0.20409480479440348
131,131,Maine,0,63,0,1,White,,2,1,0,1,1,1,1,2,1,2,-1.584899964827102,-0.11881161756623469,-0.6194269716205983
132,132,North Carolina,0,52,1,1,White,9,2,2,0,4,5,7,1,2,1,1,1.1710973279945556,-0.643632269514061,-0.6194269716205983
133,133,North Carolina,1,77,0,0,White,4,4,7,1,4,6,7,1,5,3,4,1.6966135178966604,1.3010795133602184,0.052227512737282766
134,134,California,1,65,0,1,White,8,3,4,1,4,5,5,1,5,1,2,0.6972726095973313,0.5087615515053516,-0.6194269716205983
135,135,South Carolina,1,49,1,1,White,3,4,7,1,4,5,7,2,5,3,3,1.1710973279945556,0.9000377577600748,0.4679751586170238
136,136,Alabama,1,45,0,1,White,10,4,7,1,3,5,6,2,2,2,2,0.258061988018413,-0.11881161756623469,0.20409480479440348
137,137,South Carolina,1,74,0,1,White,,4,5,0,4,3,6,2,4,1,4,0.5965038179808805,0.9771959950395975,-0.138714742127817
138,138,California,0,53,0,1,White,10,3,5,0,2,2,2,3,3,2,3,-0.5414731491146806,0.4752937495294623,0.41619695773708365
139,139,Wisconsin,0,52,1,1,White,12,1,3,0,4,5,1,1,1,1,1,0.5858886024299437,-1.204084686093323,-0.6194269716205983
140,140,Florida,,76,0,1,White,4,1,1,0,1,1,1,4,5,5,1,-1.584899964827102,-0.005524360436810266,1.3147590744402813
141,141,Pennsylvania,1,61,1,1,White,12,4,6,0,4,3,6,3,3,3,2,0.5965038179808805,0.12553213079247608,0.7003136334555536
142,142,Oklahoma,0,51,1,1,White,,1,1,0,1,1,1,1,1,2,1,-1.584899964827102,-1.204084686093323,-0.21456318441150887
143,143,Texas,1,58,0,1,White,9,5,7,0,3,3,5,1,4,1,5,0.0693560313642333,1.3298586245636885,-0.6194269716205983
144,144,Illinois,,46,1,1,White,1,,4,0,3,3,5,3,5,1,2,0.0693560313642333,0.5087615515053516,0.07016563578523916
145,145,Missouri,1,34,1,0,White,4,3,5,0,3,2,2,5,5,5,3,-0.16840158788791199,0.9000377577600748,1.3862140568107622
146,146,California,0,34,0,0,Black,4,,1,0,3,2,2,2,1,1,1,-0.16840158788791199,-1.204084686093323,-0.138714742127817
147,147,Oregon,0,72,1,1,White,5,1,1,0,2,5,,1,1,2,1,-0.3498794839393882,-1.204084686093323,-0.21456318441150887
148,148,California,0,54,0,1,Asian,9,4,2,0,2,2,2,3,1,4,2,-0.5414731491146806,-0.4551925376850848,0.9671601641532525
149,149,Minnesota,1,29,1,0,White,8,4,5,0,2,2,2,2,4,2,1,-0.5414731491146806,-0.18568175463072376,0.20409480479440348
150,150,Illinois,1,57,0,1,Other,9,4,6,0,3,3,5,3,5,2,2,0.0693560313642333,0.5087615515053516,0.41619695773708365
151,151,Indiana,0,60,0,1,White,2,3,2,1,4,6,7,1,1,2,1,1.6966135178966604,-1.204084686093323,-0.21456318441150887
152,152,California,,72,0,1,White,,2,3,0,1,2,1,1,2,1,2,-1.152458049214514,-0.11881161756623469,-0.6194269716205983
153,153,Minnesota,1,19,1,0,White,10,4,7,0,4,5,7,2,3,3,3,1.1710973279945556,0.4752937495294623,0.4679751586170238
154,154,California,0,19,1,0,White,7,5,7,1,4,5,7,2,3,2,4,1.1710973279945556,0.7740557550449166,0.20409480479440348
155,155,Michigan,0,38,1,1,White,4,1,1,1,4,3,7,1,2,1,1,0.834777050820967,-0.643632269514061,-0.6194269716205983
156,156,Wisconsin,0,69,1,0,White,6,2,1,0,4,5,6,1,2,1,4,0.8063118780148516,0.5270892828849888,-0.6194269716205983
157,157,New York,0,59,1,1,White,12,4,6,0,2,2,2,1,3,2,3,-0.5414731491146806,0.4752937495294623,-0.21456318441150887
158,158,California,1,66,0,0,White,11,4,6,0,1,2,2,2,5,3,3,-0.9244283593455365,0.9000377577600748,0.4679751586170238
159,159,West Virginia,1,71,0,0,White,5,3,7,1,3,3,6,2,2,3,2,0.14887011884293536,-0.11881161756623469,0.4679751586170238
160,160,California,1,56,0,0,Other,8,3,4,0,2,2,2,3,5,2,1,-0.5414731491146806,-0.005524360436810266,0.41619695773708365
161,161,Texas,,24,0,1,White,9,1,1,1,3,6,7,,,,,0.42922946170090626,,
162,162,Florida,1,69,0,1,White,4,4,6,0,4,6,7,1,4,1,4,1.6966135178966604,0.9771959950395975,-0.6194269716205983
163,163,Michigan,1,66,1,0,White,9,5,5,0,3,5,6,3,5,1,4,0.258061988018413,1.3010795133602184,0.07016563578523916
164,164,New York,,30,1,1,Hispanic,8,2,1,0,3,,,,,,,0.018966688940167505,,
165,165,Texas,0,75,1,0,White,6,2,1,0,1,1,1,1,1,1,2,-1.584899964827102,-0.4551925376850848,-0.6194269716205983
166,166,California,0,67,1,0,Hispanic,6,3,2,0,4,5,7,1,2,2,2,1.1710973279945556,-0.11881161756623469,-0.21456318441150887
167,167,North Carolina,0,40,0,1,White,9,3,2,0,1,1,1,2,2,1,5,-1.584899964827102,0.8220297889053648,-0.138714742127817
168,168,Texas,,46,1,0,Black,2,4,3,0,1,5,6,5,5,3,3,-0.5528190705344211,0.9000377577600748,0.8812815864961803
169,169,Ohio,0,29,0,1,White,6,1,3,0,1,1,1,1,1,2,1,-1.584899964827102,-1.204084686093323,-0.21456318441150887
170,170,Washington,0,63,0,0,White,6,3,1,0,1,1,1,1,1,1,1,-1.584899964827102,-1.204084686093323,-0.6194269716205983
171,171,Texas,0,40,0,1,White,7,2,1,0,1,1,1,1,1,1,1,-1.584899964827102,-1.204084686093323,-0.6194269716205983
172,172,Indiana,1,55,1,0,White,7,5,7,0,3,1,2,3,2,4,4,-0.27367342426787417,0.5270892828849888,0.9671601641532525
173,173,Texas,0,62,1,0,Black,2,3,1,1,4,5,5,1,1,1,1,0.6972726095973313,-1.204084686093323,-0.6194269716205983
174,174,Pennsylvania,0,72,1,0,White,2,2,1,0,3,3,5,2,2,2,2,0.0693560313642333,-0.11881161756623469,0.20409480479440348
175,175,Pennsylvania,1,59,1,0,White,6,3,2,0,3,2,5,2,5,1,4,-0.017325778574398248,1.3010795133602184,-0.138714742127817
176,176,North Carolina,0,31,1,0,White,2,1,1,0,4,1,7,1,1,1,1,0.696112982276354,-1.204084686093323,-0.6194269716205983
177,177,Washington,1,78,1,0,White,2,3,5,0,4,2,7,2,4,2,5,0.7460889643831501,1.3298586245636885,0.20409480479440348
178,178,Illinois,0,30,1,1,White,4,3,2,0,1,1,1,2,2,1,2,-1.584899964827102,-0.11881161756623469,-0.138714742127817
179,179,California,0,75,0,0,Black,3,3,2,1,4,4,7,1,2,3,3,0.932332878241983,0.2410719755829464,0.052227512737282766
180,180,Illinois,0,31,0,0,Black,6,2,2,0,1,1,1,1,2,2,2,-1.584899964827102,-0.11881161756623469,-0.21456318441150887
181,181,North Carolina,0,47,1,1,Hispanic,5,3,6,1,4,2,7,1,2,2,1,0.7460889643831501,-0.643632269514061,-0.21456318441150887
182,182,New York,0,56,1,0,White,6,3,2,1,4,6,7,1,5,2,1,1.6966135178966604,-0.005524360436810266,-0.21456318441150887
183,183,Pennsylvania,1,63,1,0,White,6,4,2,0,3,2,6,1,4,3,1,0.06085546390927974,-0.18568175463072376,0.052227512737282766
184,184,Georgia,,26,1,0,White,1,,4,0,1,1,1,1,2,3,1,-1.584899964827102,-0.643632269514061,0.052227512737282766
185,185,Nebraska,1,85,1,0,White,,4,7,0,3,,7,2,3,2,2,0.22559785331081827,0.12553213079247608,0.20409480479440348
186,186,Tennessee,0,76,0,0,White,,2,3,0,1,1,1,1,2,3,2,-1.584899964827102,-0.11881161756623469,0.052227512737282766
187,187,Ohio,0,49,0,1,White,9,3,2,0,3,3,7,1,1,1,2,0.2292131098416408,-0.4551925376850848,-0.6194269716205983
188,188,Massachusetts,0,35,0,1,White,9,3,4,0,2,1,1,2,2,1,3,-0.7667762705382174,0.2410719755829464,-0.138714742127817
189,189,Georgia,1,54,0,0,White,1,3,4,0,4,3,3,2,5,2,4,0.43245017666040364,1.3010795133602184,0.20409480479440348
190,190,Illinois,0,77,0,0,White,12,3,5,0,2,4,2,1,2,2,1,-0.44425078098387744,-0.643632269514061,-0.21456318441150887
191,191,Florida,1,58,1,1,White,,4,7,0,3,1,4,2,2,2,2,-0.15362089301338536,-0.11881161756623469,0.20409480479440348
192,192,Wisconsin,1,60,0,1,White,12,4,4,0,2,2,3,2,4,1,3,-0.46514077757936584,0.656604937986723,-0.138714742127817
193,193,California,0,27,0,1,White,2,1,3,0,1,1,1,1,1,1,2,-1.584899964827102,-0.4551925376850848,-0.6194269716205983
194,194,New York,0,51,1,1,White,10,2,1,0,1,1,1,1,1,1,1,-1.584899964827102,-1.204084686093323,-0.6194269716205983
195,195,Illinois,0,42,0,1,Black,6,,4,0,3,5,5,3,2,3,2,0.1681370821309143,-0.11881161756623469,0.7003136334555536
196,196,Georgia,1,48,1,0,White,3,4,7,1,4,6,7,1,4,1,2,1.6966135178966604,0.3012782263605131,-0.6194269716205983
197,197,Alaska,0,62,1,1,White,6,3,3,0,1,1,1,1,2,1,2,-1.584899964827102,-0.11881161756623469,-0.6194269716205983
198,198,Washington,0,29,0,1,White,8,1,4,0,1,1,1,2,1,2,1,-1.584899964827102,-1.204084686093323,0.20409480479440348
199,199,Arizona,0,66,1,1,Hispanic,11,2,1,0,2,2,1,1,1,2,1,-0.6379528989777166,-1.204084686093323,-0.21456318441150887
200,200,California,,41,0,0,Mixed,3,,4,0,3,4,5,1,5,1,1,0.12321677994056492,-0.005524360436810266,-0.6194269716205983
201,201,Maryland,1,75,1,1,White,12,4,7,0,4,4,7,2,5,3,3,0.932332878241983,0.9000377577600748,0.4679751586170238
202,202,North Carolina,0,68,1,0,White,4,3,4,0,3,1,6,1,2,1,1,-0.022651234718676787,-0.643632269514061,-0.6194269716205983
203,203,Oklahoma,1,71,1,0,White,7,4,5,1,4,6,7,1,3,2,5,1.6966135178966604,1.0932087936347323,-0.21456318441150887
204,204,Massachusetts,1,63,0,1,White,10,4,6,0,1,1,1,1,5,1,1,-1.584899964827102,-0.005524360436810266,-0.6194269716205983
